return_id,issued_id,return_book_name,return_date,return_book_isbn
RS101,IS122,NULL,06-06-2023,NULL
RS102,IS123,NULL,07-06-2023,NULL
RS103,IS106,NULL,07-08-2023,NULL
RS104,IS107,NULL,01-05-2024,NULL
RS105,IS108,NULL,03-05-2024,NULL
RS106,IS109,NULL,05-05-2024,NULL
RS107,IS110,NULL,07-05-2024,NULL
RS108,IS111,NULL,09-05-2024,NULL
RS109,IS112,NULL,11-05-2024,NULL
RS110,IS113,NULL,13-05-2024,NULL
RS111,IS114,NULL,15-05-2024,NULL
RS112,IS115,NULL,17-05-2024,NULL
RS113,IS116,NULL,19-05-2024,NULL
RS114,IS117,NULL,21-05-2024,NULL
RS115,IS118,NULL,23-05-2024,NULL
RS116,IS119,NULL,25-05-2024,NULL
RS117,IS120,NULL,27-05-2024,NULL
RS118,IS121,NULL,29-05-2024,NULL
